Name,Marris Otter,Wheat Malt,Caramalt,Chocolate Malt,Black Malt,Torrified Wheat,Golden Promise,Lager Malt,Vienna Malt,Crystal Malt,Rye Malt,Amber Malt,Pale Crystal,Dark Crystal,Munich Malt,Oat Malt,Roasted Barley,Red Crystal ,Peated Malt,Brown Malt,Flaked Wheat,Flaked Oats,French Roast Millet,Munich Millet,Pale Millet,Vienna Millet
Extraction,308,309.3,285.2,272.4,282,312.1,306,310.5,309.4,278.9,307.9,279.7,273.4,273.4,308,238.9,280.7,265,308,270,298,289.7,234,239,170,221
Colour,3,2,20,350,500,1.5,2,1.5,4,60,3,22,30,80,9,1,300,12,2,65,2,2.2,16.7,5.6,1.5,7.85
